STATION,DATE,FT NAVD88,M NAVD88,FLOODCLASS,STORMNAME,TYPE,STATIONLAT,STATIONLONG,REGION,YEAR,DOWNSTREAM KM
RICHWEST,1/22/37,15.95,5.17,MODERATE,NT22,NT,37.563056,-77.547222,PIEDMONT,1937,354.6
CARTERSVILLE,4/26/37,27.73,8.73,MAJOR,NT23,NT,37.670833,-78.086111,PIEDMONT,1937,291
RICHWEST,4/27/37,22.65,7.22,MAJOR,NT23,NT,37.563056,-77.547222,PIEDMONT,1937,354.6
RICHLOCKS,4/27/37,25.2,7.68,MODERATE,NT23,NT,37.525,-77.421111,PIEDMONT,1937,367.3
BUCHANAN,10/20/37,15.36,4.68,ACTION,NT24,NT,37.530556,-79.679167,MOUNTAIN,1937,57.7
HOLCOMBROCK,10/20/37,22.52,6.86,FLOOD,NT24,NT,37.501111,-79.262778,PIEDMONT,1937,112.3
BENTCREEK,10/20/37,16.76,5.11,FLOOD,NT24,NT,37.536111,-78.829722,PIEDMONT,1937,177.8
SCOTTSVILLE,10/20/37,22.33,6.81,MODERATE,NT24,NT,37.797222,-78.491667,PIEDMONT,1937,240.3
CARTERSVILLE,10/21/37,24.34,7.7,MODERATE,NT24,NT,37.670833,-78.086111,PIEDMONT,1937,291
RICHWEST,10/21/37,18.2,5.86,MODERATE,NT24,NT,37.563056,-77.547222,PIEDMONT,1937,354.6
LICKRUN,10/28/37,15.78,4.81,ACTION,NT25,NT,37.773611,-79.784444,MOUNTAIN,1937,0
RICHWEST,10/30/37,13.55,4.44,FLOOD,NT25,NT,37.563056,-77.547222,PIEDMONT,1937,354.6
LICKRUN,1/31/39,16.98,5.18,FLOOD,NT26,NT,37.773611,-79.784444,MOUNTAIN,1939,0
BUCHANAN,1/31/39,15.63,4.76,ACTION,NT26,NT,37.530556,-79.679167,MOUNTAIN,1939,57.7
SCOTTSVILLE,8/19/39,19.71,6.01,ACTION,NOT_NAMED198,GT,37.797222,-78.491667,PIEDMONT,1939,240.3
CARTERSVILLE,8/20/39,19.12,6.11,ACTION,NOT_NAMED198,GT,37.670833,-78.086111,PIEDMONT,1939,291
RICHWEST,8/20/39,14.37,4.69,FLOOD,NOT_NAMED198,GT,37.563056,-77.547222,PIEDMONT,1939,354.6
RICHWEST,4/9/40,13.02,4.28,FLOOD,NT27,NT,37.563056,-77.547222,PIEDMONT,1940,354.6
LICKRUN,5/31/40,16.12,4.91,FLOOD,NT28,NT,37.773611,-79.784444,MOUNTAIN,1940,0
BUCHANAN,5/31/40,17,5.18,FLOOD,NT28,NT,37.530556,-79.679167,MOUNTAIN,1940,57.7
